N,T,indices
32663,240,1|4|7
1539,240,2|5|8
32321,240,3|6|9
11940,240,7|8|9
11933,240,4|5|6
10897,240,1|2|3
8932,240,2/4
6451,240,3/5/7
10183,240,6/8
9268,240,4/8
7345,240,1/5/9
8470,240,2/6
