N,T,indices
33099,240,1|4|7
31562,240,2|5|8
33280,240,3|6|9
33556,240,7|8|9
35141,240,4|5|6
33660,240,1|2|3
32674,240,2/4
32283,240,3/5/7
33547,240,6/8
33357,240,4/8
32166,240,1/5/9
33015,240,2/6
