#rein
#lamb grad1 gradminute1 grad2 gradminute2

1.060   75  10  99  15
1.290   89  0   96  15
1.450   83  5   97  0
1.720   83  40  92  0
1.960   81  0   87  40
2.156   82  25  88  5
2.340   53  35  58  45
2.510   33  10  36  15
2.650   337 20  333 30
