#n- dotiert mit größerem N
#lamb grad1 gradminute1 grad2 gradminute2

1.060   75  15  86  0
1.290   77  0   85  5
1.450   78  35  87  20
1.720   76  5   84  50
1.960   72  15  82  10
2.156   73  15  84  0
2.340   45  5   56  30
2.510   24  20  41  0
2.650   338 0   352 50
