Nuclide ; Tl-210 
Element ; Thallium
Z ; 81
Daughter(s) ; (B-) ; Pb-210 ; 100
Q- ; 5482
Possible parent(s) ; (alpha) ; Bi-214 ; 0.021
Half-life (min) ; 1.30 ; 0.03
Half-life (s) ; 78.0 ; 1.8
Decay constant (1/s) ; 8.89E-3 ; 0.21E-3
Specific activity (Bq/g) ; 25.5E18 ; 0.6E18
Reference ; CEA/LNE-LNHB - 2008
Coincidence threshold ; 10%
Emissions (65 lines) sorted by nuclide and by decreasing intensity
----------------------------------------------------------------- Tl-210 -----------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of ; Parent
----------------------------------------------------------------- Po-210 -----------------------------------------------------------------
5304.33 ; 0.07 ; 99.99876 ; 0.00004 ; a ; Po-210 ; 0 ; 0 ;  ; Po-210
4516.70 ; 0.09 ; 0.00124 ; 0.00004 ; a ; Po-210 ; 0 ; 1 ;  ; Po-210
803.052 ; 0.024 ; 0.00123 ; 0.00004 ; g ; Pb-206 ; 1 ; 0 ;  ; Po-210
74.97 ;  ; 0.00000466 ; 0.00000017 ; XKa1 ; Pb ;  ;  ;  ; Po-210
12.2015 ;  ; 0.00000384 ; 0.00000010 ; XL ; Pb ;  ;  ;  ; Po-210
72.805 ;  ; 0.00000277 ; 0.00000011 ; XKa2 ; Pb ;  ;  ;  ; Po-210
84.9527 ;  ; 0.00000159 ; 0.00000007 ; XK'b1 ; Pb ;  ;  ;  ; Po-210
87.5763 ;  ; 0.000000481 ; 0.000000021 ; XK'b2 ; Pb ;  ;  ;  ; Po-210
----------------------------------------------------------------- Tl-206 -----------------------------------------------------------------
74.97 ;  ; 0.044 ; 0.005 ; XKa1 ; Pb ;  ;  ;  ; Tl-206
12.2035 ;  ; 0.035 ; 0.004 ; XL ; Pb ;  ;  ;  ; Tl-206
72.8049 ;  ; 0.026 ; 0.003 ; XKa2 ; Pb ;  ;  ;  ; Tl-206
84.9527 ;  ; 0.0150 ; 0.0017 ; XK'b1 ; Pb ;  ;  ;  ; Tl-206
803.06 ; 0.03 ; 0.0050 ; 0.0003 ; g ; Pb-206 ; 1 ; 0 ;  ; Tl-206
87.5763 ;  ; 0.0045 ; 0.0006 ; XK'b2 ; Pb ;  ;  ;  ; Tl-206
363.3 ; 0.5 ; 0.00014 ; 0.00014 ; g ; Pb-206 ; 2 ; 1 ;  ; Tl-206
==========================================================================================================================================
