# r[mm] I[µW]
10,0.9
9,0.9
8,0.9
7,0.9
6,1.0
5,1.3
4,2.4
3,5.7
2,9.5
1,5.5
0,2.0
-1,10
-2,7.5
-3,2.8
-4,1.8
-5,1.1
-6,1.0
-7,1.1
-8,1.0
-9,1.0
-10,0.9
