N,T,indices
12575,  822, 6/8
12758, 1503, 3/5/7
12622,  690, 2/4
12916,  648, 7|8|9
12965,  700, 4|5|6
13018,  683, 1|2|3
12905,  341, 4/8
12840, 1345, 1/5/9
12898, 1193, 2/6
12888,  125, 1|4|7
12510, 1407, 2|5|8
12536,  799, 3|6|9
